size,distance,time,constant b
10,0,2501,51
40,567,1256,16
100,401,865,33
60,321,852,0
100,472,849,0
40,461,901,0
40,518,999,0
20,39,817,34
40,222,917,167
60,181,717,51
100,288,750,17
100,292,1167,0
10,246,951,33
10,404,1349,183
10,178,1317,134
10,471,1433,17
20,277,1834,0
20,380,1818,68
60,521,1050,0
20,634,1200,16
100,404,798,0
100,303,752,118
100,243,633,16
10,604,1451,50
60,589,932,199
100,274,734,35
10,599,1450,67
10,747,2735,18
40,482,1049,33
40,382,934,17
100,258,651,133
10,587,1399,16
60,96,666,133
60,357,818,17
40,49,1183,50
100,352,799,183
20,81,951,0
20,127,1033,0
10,586,1518,17
40,170,850,83
10,469,1300,16
60,274,867,16
60,110,833,0
60,475,800,0
20,498,1550,67
20,415,900,16
20,136,1044,17
20,468,1035,35
60,833,949,0
100,228,684,34
100,294,718,0
20,112,1216,0
100,203,833,34
20,839,1118,0
60,752,1015,0
20,443,1301,17
40,781,1133,0
10,820,1767,17
100,694,850,34
100,349,734,34
40,321,816,66
100,270,683,0
40,429,901,51
10,251,1083,16
60,416,783,33
20,248,1067,0
60,657,984,33
10,274,1033,18
20,113,951,34
100,448,849,16
10,346,1001,17
60,305,1367,16
10,177,2467,16
20,485,1332,0
20,415,968,34
20,274,1501,66
60,687,849,0
40,165,817,33
20,470,1066,33
60,202,668,50
60,459,982,0
40,605,901,0
10,334,2184,0
40,341,918,16
10,466,1766,131
40,424,883,66
60,278,817,133
100,169,682,16
10,302,1318,34
10,794,1183,100
40,669,2050,0
20,602,1267,0
60,515,1467,0
40,303,933,0
60,430,783,17
40,396,836,0
100,100,632,0
40,387,916,0
40,530,934,17
100,189,716,0
